,zone temperature,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Total Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),control signal
271,21.99127837960612,16.25,89.5,2.0,0.0,1.1,9.0
272,21.04159383273806,16.0,88.0,2.0,0.0,1.1,4.0
273,20.8521291741199,15.75,91.0,1.5,0.0,1.1,2.0
274,20.93110199214226,15.5,94.0,1.0,0.0,1.1,7.0
275,22.00737186475412,15.25,97.0,0.5,0.0,1.1,8.0
276,21.99988864238697,15.0,100.0,0.0,0.0,1.1,7.0
277,21.99983116837091,15.0,98.5,0.0,0.0,0.0,0.0
278,21.37061889264385,15.0,97.0,0.0,0.0,0.0,4.0
279,20.95918061838472,15.0,95.5,0.0,0.0,0.0,5.0
280,20.57913811150284,15.0,94.0,0.0,0.0,0.0,7.0
281,21.99415061926477,15.0,94.0,0.5,0.0,0.0,6.0
282,21.16243538348329,15.0,94.0,1.0,0.0,0.0,2.0
283,20.73213285802148,15.0,94.0,1.5,0.0,0.0,5.0
284,20.47223670329454,15.0,94.0,2.0,0.0,0.0,8.0
285,21.94769942053031,14.75,95.5,2.4,0.0,0.0,4.0
286,21.00761507775487,14.5,97.0,2.8,0.0,0.0,4.0
287,20.52341282854836,14.25,98.5,3.2,0.0,0.0,3.0
288,20.2223523652126,14.0,100.0,3.6,0.0,0.0,6.0
289,20.98724905653479,13.75,100.0,3.2,0.0,0.0,6.0
290,21.0000967868495,13.5,100.0,2.8,0.0,0.0,3.0
291,20.32711830997134,13.25,100.0,2.4,0.0,0.0,8.0
292,21.90602705202576,13.0,100.0,2.0,0.0,0.0,6.0
293,21.03693594864525,13.0,100.0,1.875,0.0,0.0,7.0
294,21.97956189512218,13.0,100.0,1.75,0.0,0.0,9.0
295,21.02977797175571,13.0,100.0,1.625,0.0,0.0,8.0
296,21.9794234641147,13.0,100.0,1.5,0.0,0.0,2.0
297,20.88088445199306,13.0,100.0,2.65,0.0,0.0,9.0
298,20.95300197665763,13.0,100.0,3.8,0.0,0.0,8.0
299,21.98720193884857,13.0,100.0,4.949999999999999,0.0,0.0,9.0
300,21.03217623853378,13.0,100.0,6.1,0.0,0.0,3.0
301,20.33402193887861,13.0,100.0,5.975,0.0,0.0,3.0
302,19.96938413959767,13.0,100.0,5.85,0.0,0.0,3.0
303,19.58256054160151,13.0,100.0,5.725,0.0,0.0,0.0
304,19.38370258628822,13.0,100.0,5.6,0.0,0.0,1.0
305,19.27280887537972,13.25,98.5,5.475,0.0,0.0,2.0
306,19.17754678067317,13.5,97.0,5.35,0.0,0.0,6.0
307,20.88086504652922,13.75,95.5,5.225,0.0,0.0,0.0
308,19.97340688896003,14.0,94.0,5.1,7.5,0.0,0.0
309,19.60324010685224,14.0,95.5,4.975,11.25,0.0,6.0
